word,is_legal
baby,1
something,1
book,1
time,1
way,1
boy,1
kind,1
house,1
thing,1
car,1
name,1
anything,1
today,1
girl,1
water,1
ball,1
lot,1
food,1
bit,1
school,1
night,1
bear,1
day,1
dog,1
color,1
mouth,1
juice,1
stuff,1
man,1
milk,1
head,1
honey,1
hand,1
cat,1
bed,1
hair,1
box,1
story,1
chair,1
room,1
minute,1
work,1
table,1
picture,1
door,1
bird,1
hat,1
cup,1
piece,1
nose,1
fun,1
top,1
truck,1
everything,1
cheese,1
part,1
paper,1
morning,1
foot,1
job,1
page,1
face,1
end,1
duck,1
floor,1
toy,1
guy,1
fish,1
birthday,1
side,1
horse,1
bread,1
light,1
tree,1
money,1
train,1
ice,1
apple,1
cake,1
game,1
nothing,1
noise,1
bus,1
chicken,1
dinner,1
idea,1
place,1
plate,1
moon,1
egg,1
lady,1
coffee,1
friend,1
elephant,1
number,1
sound,1
year,1
chocolate,1
stick,1
word,1
phone,1
fire,1
front,1
letter,1
kitchen,1
mouse,1
doctor,1
song,1
tail,1
week,1
boat,1
boom,1
hole,1
finger,1
rabbit,1
care,1
farm,1
bowl,1
butter,1
window,1
lion,1
couple,1
eye,1
sun,1
rest,1
person,1
half,1
street,1
ring,1
someone,1
sandwich,1
bottom,1
beach,1
monster,1
dance,1
sugar,1
park,1
arm,1
world,1
music,1
leg,1
nobody,1
point,1
glass,1
rock,1
paint,1
summer,1
circle,1
air,1
flower,1
line,1
building,1
wall,1
middle,1
ear,1
coat,1
snake,1
grass,1
bike,1
mirror,1
fruit,1
wheel,1
star,1
uncle,1
course,1
rain,1
problem,1
body,1
ground,1
writing,1
cooking,1
square,1
trouble,1
everyone,1
road,1
tower,1
pocket,1
neck,1
sand,1
sky,1
string,1
wind,1
question,1
machine,1
plastic,1
sea,1
step,1
city,1
tongue,1
jacket,1
hospital,1
key,1
bridge,1
trip,1
knife,1
painting,1
fight,1
medicine,1
case,1
heart,1
engine,1
plane,1
hour,1
yard,1
land,1
town,1
anyone,1
plant,1
roof,1
pipe,1
none,1
fact,1
pair,1
river,1
bell,1
row,1
handle,1
station,1
match,1
piano,1
oil,1
bubble,1
fan,1
alphabet,1
moment,1
horn,1
heat,1
restaurant,1
dust,1
opening,1
jane,1
